InputSize,Time(us)
0,0
1000,156
2000,351
3000,738
4000,926
5000,1013
6000,1307
7000,1687
8000,1747
9000,2057
10000,3115
11000,3352
12000,4023
13000,4102
14000,4169
15000,4852
16000,5618
17000,6040
18000,6432
19000,7360
20000,7558
21000,7915
22000,9385
23000,8353
24000,9946
25000,9107
26000,9710
27000,9655
28000,10362
29000,10899
30000,11301
31000,11232
32000,11910
33000,11956
34000,11613
35000,12793
36000,12789
37000,13227
38000,13353
39000,13403
40000,14266
41000,14000
42000,14176
43000,19140
44000,15756
45000,15255
46000,15906
47000,16291
48000,16714
49000,16073
50000,16253
51000,17483
52000,17509
53000,17072
54000,17843
55000,17701
56000,18300
57000,18752
58000,18630
59000,19714
60000,19220
61000,19967
62000,19903
63000,21692
64000,20512
65000,22010
66000,20360
67000,22460
68000,22858
69000,23409
70000,22960
71000,22546
72000,22936
73000,24244
74000,24525
75000,25803
76000,24408
77000,25075
78000,25564
79000,26642
80000,26071
81000,25602
82000,25388
83000,26877
84000,27554
85000,27776
86000,28267
87000,28346
88000,30297
89000,29019
90000,29166
91000,29226
92000,28720
93000,31357
94000,31045
95000,31908
96000,31680
97000,30865
98000,32690
99000,31780
100000,32077
101000,31881
102000,32155
103000,33485
104000,34133
105000,33624
106000,33708
107000,34764
108000,34491
109000,33997
110000,34769
111000,35060
112000,34517
113000,36144
114000,36497
115000,36116
116000,34934
117000,38628
118000,38709
119000,37682
120000,38868
121000,38197
122000,37529
123000,39563
124000,38924
125000,39817
126000,39443
127000,40014
128000,39267
129000,43212
130000,41958
131000,42711
132000,44920
133000,41604
134000,41237
135000,43558
136000,46154
137000,43482
138000,43997
139000,44304
140000,46213
141000,47077
142000,44781
143000,46011
144000,47620
145000,48594
146000,45784
147000,49370
148000,48929
149000,46787
150000,49292
151000,48152
152000,51731
153000,47391
154000,47521
155000,51564
156000,50164
157000,50902
158000,52576
159000,50706
160000,52127
161000,50538
162000,56312
163000,51553
164000,50677
165000,54628
166000,50713
167000,52756
168000,54127
169000,54099
170000,54348
171000,59639
172000,58086
173000,55823
174000,53143
175000,55430
176000,54541
177000,58774
178000,54789
179000,57580
180000,56909
181000,55535
182000,58906
183000,57745
184000,55783
185000,57033
186000,58424
187000,62284
188000,60726
189000,59888
190000,61028
191000,60181
192000,62891
193000,59536
194000,60953
195000,62950
196000,62062
197000,62209
198000,61207
199000,62306
200000,64619
201000,63262
202000,62346
203000,63079
204000,68346
205000,68168
206000,66501
207000,64876
208000,67171
209000,70273
210000,65797
211000,64563
212000,66850
213000,69406
214000,66851
215000,68548
216000,67240
217000,69561
218000,68340
219000,68184
220000,67789
221000,68773
222000,70487
223000,70045
224000,70098
225000,71488
226000,71233
227000,72449
228000,73138
229000,72205
230000,70467
231000,72492
232000,74372
233000,76858
234000,72914
235000,72827
236000,75198
237000,74012
238000,80394
239000,76271
240000,76738
241000,79294
242000,78508
243000,76936
244000,80642
245000,77885
246000,78720
247000,78463
248000,75665
249000,85393
250000,80150
251000,83123
252000,80839
253000,78500
254000,81869
255000,82489
256000,81917
257000,83249
258000,81873
259000,87153
260000,87503
261000,83168
262000,86609
263000,89627
264000,81263
265000,81622
266000,85959
267000,87650
268000,84175
269000,84842
270000,85801
271000,85195
272000,84703
273000,86418
274000,86672
275000,85489
276000,91878
277000,86973
278000,95660
279000,90202
280000,90686
281000,90928
282000,90492
283000,89859
284000,87016
285000,90225
286000,90917
287000,96613
288000,99714
289000,93165
290000,91064
291000,94565
292000,92904
293000,94339
294000,94181
295000,97342
296000,99771
297000,94397
298000,93336
299000,97507
300000,96720
301000,98348
302000,95625
303000,96515
304000,97741
305000,96732
306000,100917
307000,101304
308000,96131
309000,98298
310000,102270
311000,97283
312000,102921
313000,99384
314000,103716
315000,102988
316000,101648
317000,105299
318000,107461
319000,102611
320000,99770
321000,102488
322000,101128
323000,109846
324000,106952
325000,103471
326000,102807
327000,103979
328000,105126
329000,106757
330000,108404
331000,110212
332000,113899
333000,107433
334000,106274
335000,105851
336000,111428
337000,107758
338000,106009
339000,106768
340000,117761
341000,112437
342000,109820
343000,111686
344000,110359
345000,111946
346000,111941
347000,115479
348000,113491
349000,109382
350000,115169
351000,111572
352000,114749
353000,111473
354000,119231
355000,117922
356000,115635
357000,119547
358000,115703
359000,116959
360000,132436
361000,115164
362000,119737
363000,114784
364000,117887
365000,115850
366000,122931
367000,118916
368000,118487
369000,119923
370000,119761
371000,120871
372000,119933
373000,123993
374000,120518
375000,124709
376000,119227
377000,120651
378000,117995
379000,124184
380000,129433
381000,123505
382000,123034
383000,122431
384000,121469
385000,125422
386000,122028
387000,129361
388000,129473
389000,134077
390000,126408
391000,124409
392000,124992
393000,124212
394000,136298
395000,132638
396000,126661
397000,130716
398000,130866
399000,129790
400000,135369
401000,130996
402000,126047
403000,129401
404000,126204
405000,133414
406000,135806
407000,131742
408000,141126
409000,130654
410000,134362
411000,131404
412000,131423
413000,145186
414000,131127
415000,130521
416000,133473
417000,132038
418000,137154
419000,135721
420000,134746
421000,140683
422000,138978
423000,138477
424000,144065
425000,142846
426000,138294
427000,138890
428000,136034
429000,138658
430000,135874
431000,140825
432000,143972
433000,137757
434000,142715
435000,142246
436000,139889
437000,141740
438000,142440
439000,142763
440000,142348
441000,139192
442000,144031
443000,143926
444000,151002
445000,151495
446000,145455
447000,145505
448000,143642
449000,148025
450000,143735
451000,144391
452000,147063
453000,149741
454000,149086
455000,143464
456000,150804
457000,150732
458000,145585
459000,151271
460000,148364
461000,148141
462000,157125
