InputSize,Time(us)
0,0
1000,8
2000,17
3000,44
4000,38
5000,47
6000,55
7000,64
8000,71
9000,81
10000,143
11000,95
12000,105
13000,189
14000,197
15000,209
16000,241
17000,264
18000,305
19000,331
20000,364
21000,231
22000,367
23000,271
24000,488
25000,310
26000,543
27000,333
28000,541
29000,350
30000,344
31000,356
32000,366
33000,384
34000,390
35000,447
36000,495
37000,444
38000,720
39000,641
40000,459
41000,454
42000,516
43000,495
44000,494
45000,496
46000,526
47000,539
48000,532
49000,623
50000,567
51000,542
52000,562
53000,642
54000,901
55000,1029
56000,835
57000,1127
58000,1101
59000,930
60000,1003
61000,893
62000,648
63000,976
64000,1062
65000,1106
66000,1176
67000,1186
68000,708
69000,1236
70000,1231
71000,1231
72000,1230
73000,1209
74000,1311
75000,1314
76000,1336
77000,1301
78000,1309
79000,1338
80000,1341
81000,1378
82000,1447
83000,1409
84000,1425
85000,1445
86000,1448
87000,1465
88000,1474
89000,1469
90000,1512
91000,1516
92000,1565
93000,1523
94000,1653
95000,1618
96000,1610
97000,1635
98000,978
99000,1621
100000,1617
101000,1602
102000,1620
103000,1711
104000,1726
105000,1716
106000,1735
107000,1765
108000,1792
109000,1746
110000,1723
111000,1767
112000,1698
113000,1556
114000,1341
115000,1739
116000,1639
117000,1769
118000,1697
119000,1551
120000,1563
121000,1687
122000,1725
123000,1622
124000,1420
125000,2129
126000,1708
127000,1254
128000,1997
129000,1688
130000,1884
131000,1680
132000,1520
133000,1458
134000,1374
135000,2149
136000,1372
137000,1435
138000,1914
139000,1446
140000,1688
141000,1417
142000,1450
143000,1355
144000,1527
145000,1377
146000,1408
147000,1421
148000,1700
149000,1447
150000,1492
151000,1621
152000,1434
153000,1441
154000,1452
155000,1459
156000,1635
157000,1518
158000,2032
159000,1514
160000,1591
161000,1536
162000,1595
163000,1975
164000,1603
165000,1563
166000,1597
167000,1614
168000,1630
169000,1576
170000,1640
171000,1813
172000,1619
173000,1626
174000,1641
175000,1932
176000,1697
177000,1905
178000,1873
179000,1667
180000,1732
181000,1883
182000,2106
183000,2130
184000,2237
185000,2129
186000,1786
187000,1931
188000,1952
189000,1822
190000,2062
191000,2100
192000,1944
193000,1828
194000,1892
195000,1833
196000,1822
197000,2810
198000,1861
199000,2332
200000,2349
201000,1888
202000,2067
203000,1927
204000,1926
205000,1916
206000,1919
207000,1944
208000,1949
209000,2080
210000,2524
211000,2457
212000,2746
213000,1969
214000,2841
215000,2925
216000,2317
217000,2941
218000,2050
219000,2643
220000,2764
221000,2140
222000,2753
223000,2165
224000,2110
225000,2108
226000,2117
227000,2730
228000,2993
229000,2155
230000,2208
231000,2696
232000,2175
233000,3307
234000,2196
235000,2213
236000,3179
237000,2311
238000,2163
239000,3237
240000,2262
241000,3298
242000,2475
243000,3306
244000,2257
245000,3372
246000,2323
247000,3345
248000,2552
249000,3412
250000,2254
251000,2273
252000,2399
253000,2634
254000,3533
255000,3446
256000,3601
257000,2397
258000,3314
259000,3779
260000,3712
261000,2446
262000,2394
263000,3557
264000,3697
265000,3971
266000,3626
267000,2471
268000,2516
269000,3104
270000,4191
271000,3947
272000,3773
273000,3774
274000,3718
275000,3926
276000,3174
277000,3811
278000,2591
279000,3813
280000,2612
281000,3647
282000,2743
283000,2764
284000,3913
285000,2728
286000,4152
287000,3297
288000,2913
289000,3299
290000,3796
291000,3506
292000,4006
293000,3029
294000,3958
295000,3397
296000,4231
297000,4081
298000,4189
299000,4854
300000,2874
301000,4138
302000,2868
303000,3699
304000,4339
305000,4171
306000,3638
307000,4218
308000,4263
309000,4382
310000,4193
311000,4250
312000,4191
313000,4615
314000,4557
315000,4501
316000,4462
317000,4165
318000,4677
319000,4115
320000,4580
321000,4209
322000,2914
323000,4428
324000,4269
325000,4318
326000,4424
327000,4418
328000,4589
329000,3634
330000,4118
331000,4443
332000,4427
333000,4851
334000,4464
335000,4348
336000,4345
337000,4430
338000,5105
339000,4900
340000,4830
341000,4604
342000,4738
343000,4948
344000,4681
345000,4706
346000,4804
347000,4943
348000,4538
349000,5094
350000,4773
351000,4895
352000,4594
353000,4459
354000,5354
355000,4896
356000,4514
357000,5850
358000,4996
359000,5048
360000,4874
361000,5037
362000,4662
363000,3316
364000,5365
365000,5048
366000,4881
367000,4982
368000,5047
369000,5176
370000,4757
371000,5094
372000,4732
373000,3601
374000,4946
375000,5156
376000,5590
377000,5263
378000,5142
379000,5116
380000,4542
381000,5087
382000,5681
383000,5374
384000,5487
385000,4614
386000,5444
387000,5358
388000,4850
389000,5058
390000,5644
391000,5104
392000,5894
393000,5926
394000,5141
395000,5400
396000,5055
397000,5346
398000,4792
399000,5384
400000,6010
401000,5112
402000,6151
403000,6068
404000,5847
405000,5266
406000,6208
407000,3755
408000,5243
409000,5392
410000,4963
411000,6528
412000,6292
413000,5828
414000,6153
415000,5162
416000,5639
417000,5025
418000,5146
419000,5401
420000,6354
421000,6513
422000,6438
423000,5416
424000,6343
425000,5656
426000,5256
427000,6600
428000,6209
429000,5723
430000,5444
431000,5305
432000,5392
433000,6808
434000,6035
435000,3970
436000,6688
437000,5878
438000,5612
439000,6702
440000,5483
441000,6200
442000,6835
443000,6610
444000,6904
445000,5720
446000,5470
447000,5567
448000,5573
449000,5184
450000,5781
451000,5595
452000,5684
453000,5655
454000,5713
455000,5570
456000,5849
457000,6193
458000,5450
459000,5967
460000,6837
461000,6703
462000,7104
463000,7242
464000,5822
465000,5774
466000,6364
467000,6270
468000,5714
469000,6290
470000,5871
471000,5918
472000,6757
473000,5976
474000,6204
475000,4659
476000,6053
477000,5952
478000,6079
479000,5740
480000,4862
481000,7149
482000,7290
483000,5650
484000,6550
485000,5899
486000,6767
487000,5929
488000,7499
489000,5802
490000,5006
491000,5765
492000,5779
493000,6471
494000,7254
495000,7128
496000,7626
497000,5882
498000,5928
499000,6611
500000,6238
501000,7255
502000,7562
503000,6006
504000,6890
505000,6052
506000,5954
507000,7331
508000,4606
509000,6006
510000,6457
511000,7362
512000,7281
513000,7507
514000,5925
515000,5562
516000,7366
517000,7050
518000,6365
519000,5945
520000,6281
521000,6354
522000,5243
523000,6442
524000,7048
525000,7406
526000,6468
527000,6348
528000,6716
529000,5951
530000,5705
531000,6478
532000,7234
533000,7278
534000,6181
535000,7674
536000,6218
537000,7152
538000,7581
539000,5909
540000,6062
541000,5804
542000,7264
543000,7965
544000,7714
545000,6452
546000,6438
547000,7186
548000,8157
549000,7631
550000,7536
551000,6116
552000,7893
553000,5930
554000,7358
555000,8431
556000,6339
557000,7448
558000,7767
559000,7485
560000,5669
561000,7636
562000,7017
563000,6758
564000,7716
565000,7487
566000,6377
567000,7947
568000,6327
569000,8068
570000,7549
571000,6246
572000,7499
573000,8227
574000,6362
575000,7831
576000,8357
577000,7872
578000,6191
579000,7651
580000,7855
581000,7119
582000,6349
583000,6400
584000,7690
585000,8205
586000,8168
587000,7550
588000,6440
589000,7880
590000,7517
591000,6335
592000,7987
593000,7507
594000,7963
595000,9160
596000,7980
597000,7706
598000,8226
599000,7477
600000,8023
601000,8061
602000,8977
603000,7808
604000,6972
605000,6476
606000,7549
607000,6656
608000,6831
609000,8635
610000,7010
611000,7411
612000,7786
613000,6798
614000,6375
615000,8089
616000,7976
617000,6424
618000,8066
619000,6855
620000,7644
621000,7694
622000,6969
623000,7449
624000,8020
625000,10867
626000,6705
627000,8378
628000,7521
629000,7806
630000,6818
631000,6825
632000,7861
633000,7891
634000,7553
635000,8394
636000,7770
637000,7687
638000,8087
639000,8715
640000,8850
641000,8528
642000,8375
643000,6744
644000,6869
645000,7804
646000,8039
647000,8457
648000,8273
649000,8834
650000,7197
651000,7227
652000,7447
653000,7631
654000,8883
655000,6866
656000,7310
657000,7745
658000,7878
659000,8878
660000,8217
661000,6571
662000,8228
663000,7382
664000,8134
665000,8017
666000,6594
667000,7502
668000,8301
669000,8549
670000,8660
671000,8551
672000,6578
673000,7856
674000,7268
675000,6613
676000,7493
677000,8893
678000,6713
679000,7476
680000,8816
681000,8595
682000,7989
683000,8266
684000,7331
685000,7966
686000,8293
687000,8862
688000,6634
689000,9146
690000,9705
691000,8332
692000,6765
693000,6865
694000,8747
695000,9307
696000,7718
697000,7989
698000,6808
699000,6831
700000,8499
701000,7784
702000,7979
703000,7033
704000,8792
705000,8455
706000,7859
707000,9120
708000,7825
709000,8297
710000,7555
711000,7702
712000,8162
713000,7905
714000,7285
715000,7079
716000,8199
717000,8424
718000,9093
719000,8194
720000,7730
721000,7054
722000,9416
723000,8745
724000,7315
725000,9218
726000,8398
727000,8752
728000,8390
729000,8326
730000,7660
731000,9119
732000,8646
733000,8839
734000,7290
735000,9432
736000,8599
737000,7081
738000,8873
739000,9048
740000,8452
741000,8781
742000,8180
743000,7318
744000,8672
745000,8352
746000,8560
747000,9056
748000,7483
749000,8035
750000,8740
751000,7286
752000,8582
753000,9172
754000,7639
755000,7282
756000,9271
757000,8637
758000,7519
759000,8803
760000,7776
761000,8976
762000,7225
763000,9145
764000,8745
765000,8691
766000,9465
767000,7449
768000,9136
769000,9386
770000,8364
771000,7707
772000,9413
773000,9495
774000,8667
775000,8739
776000,9088
777000,9413
778000,9199
779000,8902
780000,9029
781000,9012
782000,8075
783000,8352
784000,8448
785000,9309
786000,9178
787000,9179
788000,8877
789000,8759
790000,8809
791000,8997
792000,8410
793000,9006
794000,7883
795000,9108
796000,8186
797000,7952
798000,8590
799000,9311
800000,9382
801000,9389
802000,8553
803000,9445
804000,8989
805000,8483
806000,7588
807000,7920
808000,9125
809000,7872
810000,9727
811000,9439
812000,9882
813000,10192
814000,8452
815000,7801
816000,8164
817000,9230
818000,9098
819000,8868
820000,8103
821000,8363
822000,8692
823000,9301
824000,9107
825000,8757
826000,9301
827000,9651
828000,9118
829000,9401
830000,9055
831000,9182
832000,9175
833000,9318
834000,9522
835000,10083
836000,9509
837000,10905
838000,9429
839000,9033
840000,9595
841000,9015
842000,9283
843000,9073
844000,9576
845000,9065
846000,9556
847000,8755
848000,8613
849000,9287
850000,9349
851000,9797
852000,9295
853000,10183
854000,9419
855000,9517
856000,9451
857000,9878
858000,8990
859000,9838
860000,8545
861000,9616
862000,9852
863000,9211
864000,9551
865000,9682
866000,9901
867000,9732
868000,11874
869000,9736
870000,8742
871000,9744
872000,9251
873000,9579
874000,9673
875000,9494
876000,9766
877000,9684
878000,10424
879000,10777
880000,10098
881000,9639
882000,9656
883000,9248
884000,9380
885000,10396
886000,10420
887000,9849
888000,9536
889000,9753
890000,10502
891000,10102
892000,9809
893000,9958
894000,9869
895000,10033
896000,9352
897000,9969
898000,9332
899000,9784
900000,9799
901000,9937
902000,10152
903000,11730
904000,9993
905000,9749
906000,11163
907000,10159
908000,10227
909000,10024
910000,10055
911000,10164
912000,10026
913000,9964
914000,10042
915000,10406
916000,10534
917000,10119
918000,10151
919000,10368
920000,10381
921000,11599
922000,10664
923000,10250
924000,12293
925000,9844
926000,10066
927000,10052
928000,9061
929000,10239
930000,10055
931000,10315
932000,10236
933000,10027
934000,9763
935000,10579
936000,10639
937000,9895
938000,10192
939000,10191
940000,10936
941000,10837
942000,10387
943000,10364
944000,10116
945000,9960
946000,10315
947000,10523
948000,10442
949000,15381
950000,12435
951000,10155
952000,10351
953000,9949
954000,10258
955000,10357
956000,10470
957000,10487
958000,10592
959000,10704
960000,10498
961000,10803
962000,10745
963000,10224
964000,10467
965000,10472
966000,10400
967000,10211
968000,10518
969000,10523
970000,11082
971000,10546
972000,10612
973000,10887
974000,10585
975000,10410
976000,10596
977000,10659
978000,10549
979000,10630
980000,10868
981000,10821
982000,11102
983000,10753
984000,11081
985000,10947
986000,10345
987000,10507
988000,11294
989000,11354
990000,10887
991000,10804
992000,10902
993000,15748
994000,10738
995000,10845
996000,12596
997000,10833
998000,10813
999000,10536
1000000,10586
