InputSize,Time(us)
0,0
1000,82
2000,211
3000,268
4000,505
5000,643
6000,555
7000,624
8000,1017
9000,1148
10000,1517
11000,1431
12000,2219
13000,2164
14000,2045
15000,2682
16000,2291
17000,2795
18000,3179
19000,3408
20000,3815
21000,3411
22000,4188
23000,4429
24000,3990
25000,4636
26000,5128
27000,4954
28000,4477
29000,5594
30000,4826
31000,4980
32000,6062
33000,6205
34000,6412
35000,6567
36000,6586
37000,6636
38000,7235
39000,7233
40000,7260
41000,7294
42000,6815
43000,7786
44000,8339
45000,8012
46000,8359
47000,8238
48000,8230
49000,8601
50000,8295
51000,8354
52000,8376
53000,8410
54000,8622
55000,8885
56000,8859
57000,8937
58000,9242
59000,9432
60000,9776
61000,9797
62000,9741
63000,10053
64000,9998
65000,10372
66000,10334
67000,10446
68000,10655
69000,11963
70000,10710
71000,10784
72000,11203
73000,10892
74000,11079
75000,11481
76000,11575
77000,11537
78000,11946
79000,11651
80000,11689
81000,11596
82000,12195
83000,12344
84000,12034
85000,12498
86000,13136
87000,13106
88000,12735
89000,12901
90000,13272
91000,13251
92000,13025
93000,13558
94000,14338
95000,13880
96000,13580
97000,13539
98000,15128
99000,13924
100000,14431
101000,16594
102000,17226
103000,16916
104000,16901
105000,17030
106000,17251
107000,18091
108000,17544
109000,17781
110000,17824
111000,18155
112000,18396
113000,18335
114000,18883
115000,18712
116000,18716
117000,19020
118000,20470
119000,19185
120000,19335
121000,19586
122000,19495
123000,20434
124000,19805
125000,20286
126000,19992
127000,20495
128000,20848
129000,20501
130000,21657
131000,20780
132000,20660
133000,21060
134000,21446
135000,20887
136000,21492
137000,22095
138000,22048
139000,22077
140000,22677
141000,23985
142000,22258
143000,22207
144000,22451
145000,23167
146000,23257
147000,22994
148000,23050
149000,23117
150000,23198
151000,23597
152000,23434
153000,23944
154000,24069
155000,25627
156000,23968
157000,24544
158000,24435
159000,24620
160000,25836
161000,24723
162000,35365
163000,26048
164000,25516
165000,25281
166000,24672
167000,25671
168000,25867
169000,26155
170000,26125
171000,26402
172000,27343
173000,26649
174000,26778
175000,26989
176000,27063
177000,27337
178000,27535
179000,27710
180000,27923
181000,27110
182000,30321
183000,27866
184000,27233
185000,28334
186000,28387
187000,27817
188000,28980
189000,28600
190000,29383
191000,29376
192000,28436
193000,29691
194000,29444
195000,29542
196000,30435
197000,30584
198000,29729
199000,29784
200000,29531
201000,30717
202000,30124
203000,31680
204000,30838
205000,33948
206000,30721
207000,30912
208000,30781
209000,31546
210000,31209
211000,31483
212000,31946
213000,31739
214000,32459
215000,32095
216000,31754
217000,31888
218000,33279
219000,32546
220000,32646
221000,33793
222000,32755
223000,33696
224000,32935
225000,34113
226000,33352
227000,34141
228000,34487
229000,34198
230000,34086
231000,34122
232000,34786
233000,34756
234000,34790
235000,35426
236000,35430
237000,34651
238000,35218
239000,35414
240000,35374
241000,35356
242000,35711
243000,36309
244000,36271
245000,36314
246000,37089
247000,37042
248000,36859
249000,36838
250000,37658
251000,39474
252000,37112
253000,37467
254000,37370
255000,37752
256000,37952
257000,38875
258000,39472
259000,38840
260000,38534
261000,38559
262000,38942
263000,38902
264000,38712
265000,39083
266000,39615
267000,39466
268000,39273
269000,40526
270000,41171
271000,41052
272000,40319
273000,40808
274000,43298
275000,40718
276000,41715
277000,40541
278000,41281
279000,42329
280000,42431
281000,43046
282000,44186
283000,42987
284000,41578
285000,42265
286000,41834
287000,42159
288000,43255
289000,42317
290000,42539
291000,43572
292000,43704
293000,44312
294000,43169
295000,43095
296000,43515
297000,43370
298000,45066
299000,43829
300000,44370
301000,44505
302000,44035
303000,44955
304000,44654
305000,44862
306000,45256
307000,45282
308000,44760
309000,45220
310000,44975
311000,48167
312000,45856
313000,45371
314000,45938
315000,46046
316000,46674
317000,46683
318000,46803
319000,46782
320000,46488
321000,47134
322000,47255
323000,47539
324000,47295
325000,47937
326000,48089
327000,48095
328000,49654
329000,49382
330000,47671
331000,48234
332000,48714
333000,48926
334000,49199
335000,48858
336000,48928
337000,49215
338000,49044
339000,49588
340000,49298
341000,49471
342000,49866
343000,49803
344000,49987
345000,50364
346000,50419
347000,50714
348000,50683
349000,50621
350000,50910
351000,51115
352000,53598
353000,51783
354000,51652
355000,51486
356000,52021
357000,55089
358000,54804
359000,52953
360000,54848
361000,52294
362000,52859
363000,53096
364000,53373
365000,53025
366000,53242
367000,53190
368000,53746
369000,53843
370000,52748
371000,54000
372000,54715
373000,55951
374000,54221
375000,54623
376000,55003
377000,54778
378000,55131
379000,55552
380000,55510
381000,55310
382000,56450
383000,55532
384000,56581
385000,56299
386000,55969
387000,56220
388000,56630
389000,57636
390000,56684
391000,57497
392000,56998
393000,57061
394000,57155
395000,57326
396000,58457
397000,57559
398000,58293
399000,57987
400000,58327
401000,58131
402000,58640
403000,58588
404000,58889
405000,58951
406000,58939
407000,59376
408000,59367
409000,61771
410000,60811
411000,59602
412000,59589
413000,60134
414000,60156
415000,60382
416000,60961
417000,60823
418000,60244
419000,60665
420000,61217
421000,61154
422000,63596
423000,62731
424000,61273
425000,62187
426000,61845
427000,63170
428000,62233
429000,62377
430000,62369
431000,62409
432000,62754
433000,62787
434000,63196
435000,62981
436000,63347
437000,63815
438000,63246
