InputSize,Time(us)
532000,347668
533000,346659
534000,347943
535000,346843
536000,351850
537000,353076
538000,351813
539000,356855
540000,352516
541000,354871
542000,352739
543000,352900
544000,355426
545000,361055
546000,360403
547000,357592
548000,355654
549000,358740
550000,364448
551000,363021
552000,362722
553000,360641
554000,363126
555000,364462
556000,364489
557000,366384
558000,363354
559000,364007
560000,365343
561000,371590
562000,370394
563000,367657
564000,369390
565000,370582
566000,373212
567000,375160
568000,373644
569000,372015
570000,373790
571000,375119
572000,376758
573000,377990
574000,376532
575000,377755
576000,377424
577000,379799
578000,380760
579000,382487
580000,382467
581000,381975
582000,382562
583000,385034
584000,382721
585000,385847
586000,385743
587000,385092
588000,382304
589000,384759
590000,385631
591000,388264
592000,390222
593000,396954
594000,389913
595000,397680
596000,390650
597000,394072
598000,392077
599000,392782
600000,395464
601000,396739
602000,395139
603000,394414
604000,395635
605000,398210
606000,398578
607000,400385
608000,399882
609000,400827
610000,399860
611000,401242
612000,399639
613000,401142
614000,401267
615000,461821
616000,406016
617000,406941
618000,407052
619000,405382
620000,405233
621000,407542
622000,407014
623000,406942
624000,409066
625000,413158
626000,411060
627000,412227
628000,417496
629000,463142
630000,413743
631000,412338
632000,412177
633000,414211
634000,420387
635000,420208
636000,415198
637000,416956
638000,417588
639000,417356
640000,442844
641000,422291
642000,422043
643000,420855
644000,421851
645000,422900
646000,421456
647000,423416
648000,422234
649000,423056
650000,423214
651000,424118
652000,424192
653000,426584
654000,427171
655000,426124
656000,427435
657000,426994
658000,430762
659000,432055
660000,431457
661000,432109
662000,434494
663000,435128
664000,436051
665000,436047
666000,436414
667000,438998
668000,438786
669000,437660
670000,437339
671000,439473
672000,441078
673000,446524
674000,440937
675000,441549
676000,442977
677000,442579
678000,444954
679000,444487
680000,445884
681000,445541
682000,446507
683000,446674
684000,449423
685000,450054
686000,448163
687000,453513
688000,448287
689000,451820
690000,451209
691000,450475
692000,452445
693000,452972
694000,451413
695000,455077
696000,456244
697000,453416
698000,454326
699000,455255
700000,457412
701000,457615
702000,457714
703000,462609
704000,461966
705000,460875
706000,461019
707000,475422
708000,464569
709000,503715
710000,468040
711000,465846
712000,466041
713000,467492
714000,467990
715000,475822
716000,467129
717000,468691
718000,467477
719000,470598
720000,469338
721000,472731
722000,469718
723000,472313
724000,472262
725000,473961
726000,503410
727000,505113
728000,477337
729000,478121
730000,478024
731000,478726
732000,479584
733000,480062
734000,478713
735000,482684
736000,482327
737000,480145
738000,482024
739000,483887
740000,486700
741000,495881
742000,483874
743000,500226
744000,484633
745000,485706
746000,487375
747000,486018
748000,487347
749000,487720
750000,491549
751000,492159
752000,494008
753000,492092
754000,493909
755000,495546
756000,495730
757000,496468
758000,494171
759000,496498
760000,499714
761000,499521
762000,500635
763000,499424
764000,499958
765000,499855
766000,499914
767000,500095
768000,503024
769000,502806
770000,505670
771000,504225
772000,504043
773000,503671
774000,507346
775000,506049
776000,522813
777000,511184
778000,510156
779000,508034
780000,509947
781000,511529
782000,509715
783000,511752
784000,515637
785000,512603
786000,513342
787000,513063
788000,514682
789000,518934
790000,519244
791000,521469
792000,519359
793000,520441
794000,524349
795000,522082
796000,525613
797000,523830
798000,522048
799000,523153
800000,524634
801000,563180
802000,528913
803000,526072
804000,525300
805000,528735
806000,527490
807000,539094
808000,530290
809000,528577
810000,530062
811000,533936
812000,557794
813000,532285
814000,532995
815000,532246
816000,533273
817000,540509
818000,535983
819000,536375
820000,538527
821000,541750
822000,543626
823000,539818
824000,541468
825000,542780
826000,545574
827000,544632
828000,544684
829000,543688
830000,544653
831000,547677
832000,546170
833000,549954
834000,545646
835000,549637
836000,550384
837000,549350
838000,548894
839000,551298
840000,554588
841000,552837
842000,558620
843000,572891
844000,557819
845000,555812
846000,554619
847000,559232
848000,559256
849000,560519
850000,558797
851000,561909
852000,562130
853000,559673
854000,561961
855000,564635
856000,566654
857000,617512
858000,564255
859000,566031
860000,568196
861000,566995
862000,566297
863000,581336
864000,567555
865000,569116
866000,572498
867000,573491
868000,573444
869000,573117
870000,581331
871000,581425
872000,573941
873000,575156
874000,574962
875000,573253
876000,578830
877000,603407
878000,576651
879000,621383
880000,579646
881000,576841
882000,579061
883000,583490
884000,579684
885000,581677
886000,581733
887000,586944
888000,583264
889000,656568
890000,588462
891000,585821
892000,586234
893000,598509
894000,588600
895000,589800
896000,593451
897000,590395
898000,591385
899000,593161
900000,588547
901000,591795
902000,595686
903000,596133
904000,593797
905000,599257
906000,594407
907000,595071
908000,598982
909000,598390
910000,597105
911000,621231
912000,599598
913000,601588
914000,603421
915000,601470
916000,601264
917000,604720
918000,601824
919000,605412
920000,613464
921000,607651
922000,609250
923000,606584
924000,609406
925000,610289
926000,635206
927000,609733
928000,611384
929000,611314
930000,615843
931000,622235
932000,612647
933000,617424
934000,617075
935000,617960
936000,616806
937000,616812
938000,621887
939000,618381
940000,620617
941000,623450
942000,619949
943000,622452
944000,640105
945000,622946
946000,625648
947000,622370
948000,625061
949000,623169
950000,625372
951000,628085
952000,628349
953000,631479
954000,629537
955000,632239
956000,632470
957000,633350
958000,638851
959000,631333
960000,654169
961000,634301
962000,635351
963000,638622
964000,637929
965000,638407
966000,635631
967000,639375
968000,639015
969000,647394
970000,641746
971000,639797
972000,650279
973000,644477
974000,645113
975000,669606
976000,641440
977000,640549
978000,642953
979000,641989
980000,641586
981000,644645
982000,644202
983000,648844
984000,644396
985000,650631
986000,645604
987000,650029
988000,648120
989000,651915
990000,650067
991000,648247
992000,651174
993000,649351
994000,665887
995000,651270
996000,656944
997000,666881
998000,657978
999000,652851
1000000,660060
