InputSize,Time(us)
0,0
1000,79
2000,264
3000,350
4000,755
5000,752
6000,712
7000,1211
8000,932
9000,965
10000,1390
11000,2343
12000,2111
13000,3129
14000,3562
15000,2535
16000,2806
17000,3239
18000,3383
19000,3732
20000,4044
21000,3844
22000,4104
23000,7209
24000,4873
25000,4829
26000,6292
27000,6267
28000,6698
29000,5382
30000,6829
31000,7211
32000,5634
33000,5756
34000,7630
35000,7774
36000,7625
37000,7921
38000,8303
39000,8772
40000,8895
41000,8325
42000,8975
43000,10159
44000,7447
45000,9283
46000,9092
47000,9121
48000,9499
49000,9491
50000,9302
51000,10125
52000,9945
53000,10294
54000,10187
55000,10554
56000,10298
57000,10318
58000,10392
59000,10913
60000,10835
61000,11156
62000,11182
63000,11389
64000,13262
65000,12954
66000,11926
67000,12727
68000,12837
69000,13122
70000,12163
71000,12206
72000,13144
73000,12974
74000,12810
75000,13116
76000,13946
77000,13549
78000,13593
79000,13501
80000,14081
81000,13976
82000,13855
83000,14465
84000,13919
85000,13786
86000,14196
87000,14451
88000,15332
89000,14546
90000,14412
91000,14958
92000,16110
93000,16294
94000,15586
95000,15977
96000,15444
97000,16100
98000,15673
99000,16682
100000,15982
101000,19776
102000,18721
103000,19500
104000,18997
105000,19154
106000,19186
107000,20016
108000,19544
109000,19759
110000,19886
111000,20446
112000,20490
113000,20949
114000,21558
115000,21215
116000,20614
117000,21314
118000,21434
119000,21208
120000,21969
121000,32074
122000,22937
123000,22132
124000,22342
125000,22753
126000,22987
127000,23051
128000,22703
129000,22982
130000,27283
131000,23724
132000,23548
133000,23291
134000,24100
135000,24207
136000,24213
137000,24525
138000,24843
139000,25160
140000,25057
141000,24437
142000,25935
143000,25313
144000,25165
145000,25534
146000,25670
147000,26083
148000,26293
149000,28328
150000,26912
151000,26273
152000,26242
153000,27320
154000,26648
155000,26946
156000,27078
157000,27384
158000,27966
159000,27436
160000,27614
161000,28244
162000,28376
163000,28103
164000,28187
165000,28376
166000,28652
167000,28381
168000,29189
169000,29058
170000,29774
171000,35887
172000,29944
173000,30399
174000,30714
175000,30061
176000,29931
177000,30373
178000,31153
179000,30866
180000,30682
181000,31003
182000,31137
183000,31325
184000,30486
185000,31398
186000,31336
187000,32205
188000,32131
189000,32390
190000,32479
191000,31476
192000,32869
193000,32592
194000,33155
195000,32638
196000,33581
197000,32872
198000,34629
199000,33118
200000,34064
201000,33399
202000,34374
203000,33820
204000,35305
205000,34995
206000,37285
207000,35216
208000,34231
209000,35827
210000,35935
211000,35441
212000,36262
213000,35009
214000,36285
215000,35868
216000,35561
217000,36059
218000,35814
219000,36175
220000,36849
221000,36439
222000,40876
223000,36849
224000,36582
225000,36671
226000,37116
227000,37028
228000,37215
229000,44768
230000,38116
231000,37743
232000,38115
233000,38789
234000,38114
235000,38940
236000,39497
237000,38846
238000,39149
239000,39456
240000,39384
241000,39479
242000,39984
243000,40162
244000,39845
245000,40178
246000,40183
247000,40880
248000,41539
249000,42651
250000,41269
251000,40987
252000,41381
253000,43293
254000,41485
255000,41522
256000,42175
257000,42107
258000,50209
259000,42745
260000,43074
261000,42737
262000,43191
263000,43586
264000,43636
265000,43672
266000,43921
267000,43960
268000,43376
269000,44719
270000,44418
271000,43989
272000,44340
273000,44467
274000,44776
275000,44890
276000,45284
277000,45075
278000,45311
279000,54094
280000,45988
281000,46357
282000,47725
283000,45689
284000,46975
285000,46658
286000,46444
287000,46186
288000,48050
289000,46963
290000,47716
291000,47741
292000,48054
293000,46786
294000,48244
295000,49646
