InputSize,Time(us)
0,0
1000,115
2000,223
3000,430
4000,586
5000,734
6000,889
7000,853
8000,840
9000,949
10000,1069
11000,1366
12000,1684
13000,1663
14000,2152
15000,2630
16000,2855
17000,2451
18000,2766
19000,2794
20000,3486
21000,3449
22000,3751
23000,5775
24000,5110
25000,5085
26000,5361
27000,5401
28000,5782
29000,6028
30000,5842
31000,6117
32000,4916
33000,6211
34000,6511
35000,5855
36000,6886
37000,7098
38000,7151
39000,7215
40000,7024
41000,7555
42000,7549
43000,7509
44000,7947
45000,8038
46000,8057
47000,8056
48000,7837
49000,8007
50000,8488
51000,8574
52000,8636
53000,8836
54000,9357
55000,8696
56000,8729
57000,9409
58000,9313
59000,9634
60000,9563
61000,10226
62000,9686
63000,9901
64000,9722
65000,10121
66000,10239
67000,10889
68000,10597
69000,10627
70000,13811
71000,11617
72000,11945
73000,11349
74000,11761
75000,11446
76000,11661
77000,11357
78000,12419
79000,12545
80000,13313
81000,12538
82000,12390
83000,12763
84000,13011
85000,13239
86000,14768
87000,12880
88000,13259
89000,12687
90000,12885
91000,14746
92000,13646
93000,13594
94000,13547
95000,13786
96000,13741
97000,14037
98000,14306
99000,14368
100000,14501
101000,16294
102000,17643
103000,19203
104000,17980
105000,17477
106000,17731
107000,18133
108000,19333
109000,18473
110000,18290
111000,18388
112000,18849
113000,18646
114000,19090
115000,18873
116000,19308
117000,18746
118000,19556
119000,19271
120000,19521
121000,19582
122000,20290
123000,20492
124000,20361
125000,20345
126000,20240
127000,20381
128000,20695
129000,20640
130000,22281
131000,21040
132000,21199
133000,21294
134000,21646
135000,21561
136000,21822
137000,24296
138000,22928
139000,22269
140000,23237
141000,22706
142000,22709
143000,22754
144000,22907
145000,23095
146000,23548
147000,23502
148000,23514
149000,24040
150000,23948
151000,24043
152000,24077
153000,23840
154000,24339
155000,24322
156000,24588
157000,25928
158000,25115
159000,25106
160000,25465
161000,26070
162000,25608
163000,25898
164000,26098
165000,26153
166000,27425
167000,26887
168000,26183
169000,27326
170000,26946
171000,26917
172000,26282
173000,26907
174000,27903
175000,28147
176000,28319
177000,28330
178000,28503
179000,27407
180000,28656
181000,28272
182000,27387
183000,28303
184000,29028
185000,28020
186000,28743
187000,28998
188000,28572
189000,28819
190000,28998
191000,29390
192000,30157
193000,30220
194000,31620
195000,29798
196000,29709
197000,30285
198000,31013
199000,31245
200000,31583
201000,30967
202000,30878
203000,32208
204000,31383
205000,30767
206000,31315
207000,31593
208000,31495
209000,32054
210000,32021
211000,32309
212000,33455
213000,31970
214000,33327
215000,32811
216000,33114
217000,33526
218000,33281
219000,36053
220000,34106
221000,36844
222000,33987
223000,34697
224000,34929
225000,34372
226000,34677
227000,34333
228000,34487
229000,35464
230000,35067
231000,34883
232000,37024
233000,35059
234000,38911
235000,35934
236000,35630
237000,35902
