InputSize,Time(us)
0,0
1000,209
2000,362
3000,557
4000,731
5000,919
6000,1128
7000,1225
8000,1400
9000,1592
10000,1818
11000,2019
12000,2358
13000,2455
14000,2685
15000,3274
16000,3994
17000,3802
18000,4239
19000,5732
20000,5757
21000,7312
22000,7745
23000,9376
24000,9183
25000,7932
26000,7820
27000,8344
28000,9992
29000,8855
30000,9445
31000,9550
32000,9780
33000,10792
34000,10610
35000,11164
36000,10666
37000,11386
38000,11095
39000,12614
40000,11785
41000,11658
42000,11884
43000,12113
44000,13159
45000,12547
46000,13065
47000,13243
48000,13271
49000,13372
50000,13662
51000,14370
52000,14637
53000,14030
54000,15282
55000,16561
56000,15306
57000,15233
58000,15620
59000,15894
60000,16408
61000,17064
62000,16416
63000,16963
64000,17058
65000,18066
66000,20027
67000,18536
68000,18358
69000,18713
70000,20589
71000,19962
72000,19862
73000,19621
74000,19532
75000,20449
76000,20697
77000,20348
78000,21896
79000,22117
80000,21895
81000,22470
82000,21512
83000,21722
84000,22366
85000,22728
86000,22638
87000,22801
88000,24180
89000,25510
90000,24114
91000,23899
92000,24399
93000,24921
94000,24709
95000,24658
96000,25111
97000,25218
98000,25199
99000,25625
100000,25933
101000,27282
102000,27395
103000,30830
104000,27851
105000,27278
106000,27651
107000,26951
108000,29952
109000,29907
110000,27887
111000,29074
112000,31402
113000,29379
114000,29258
115000,30186
116000,29676
117000,30394
118000,30351
119000,30098
120000,29735
121000,30512
122000,31367
123000,33566
124000,33300
125000,31487
126000,32792
127000,33400
128000,32950
129000,33966
130000,33650
131000,32886
132000,34550
133000,33680
134000,35755
135000,34739
136000,35057
137000,39056
138000,37484
139000,34490
140000,36832
141000,36920
142000,35142
143000,36514
144000,35720
145000,36971
146000,37814
147000,37210
148000,38365
149000,39102
150000,38775
151000,37843
152000,39861
153000,39515
154000,39472
155000,39074
156000,41113
157000,41389
158000,42172
159000,40975
160000,41414
161000,41005
162000,42583
163000,41113
164000,40896
165000,40924
166000,42849
167000,43594
168000,44876
169000,43219
170000,43334
171000,44794
172000,43605
173000,44128
174000,42922
175000,47083
176000,44480
177000,44095
178000,44719
179000,44772
180000,49529
181000,46137
182000,46131
183000,44640
184000,47726
185000,46115
186000,46704
187000,47437
188000,46500
189000,47545
190000,50172
191000,51097
192000,48991
193000,50948
194000,49897
195000,49416
196000,48529
197000,52687
198000,65761
199000,51981
200000,50588
201000,51669
202000,50896
203000,50758
204000,51266
205000,52344
206000,50764
207000,50273
208000,51925
209000,52718
210000,51722
211000,51858
212000,54491
213000,53339
214000,53605
215000,56237
216000,53974
217000,55469
218000,55414
219000,54491
220000,55935
221000,56399
222000,58008
223000,56262
224000,56379
225000,62163
226000,58556
227000,58776
228000,59336
229000,60008
230000,61244
231000,56365
232000,58457
233000,58533
234000,61289
235000,59856
236000,59867
237000,60287
238000,62648
239000,60358
240000,58696
241000,61003
242000,64270
243000,62285
244000,62077
245000,60881
246000,61062
247000,63059
248000,62902
249000,63339
250000,62019
251000,62318
252000,65120
253000,63826
254000,63898
255000,62505
256000,67306
257000,65425
258000,65155
259000,66702
260000,64694
261000,65302
262000,67989
263000,70592
264000,65837
265000,66402
266000,66287
267000,73200
268000,68392
269000,65865
270000,68830
271000,67236
272000,70307
273000,68548
274000,69385
275000,70326
276000,70373
277000,70284
278000,69682
279000,70537
280000,69763
281000,72650
282000,73343
283000,69667
284000,73653
285000,73622
286000,71942
287000,71188
288000,73907
289000,72233
290000,71310
291000,73007
292000,73109
293000,76472
294000,73399
295000,74100
296000,76243
297000,74817
298000,75904
299000,73640
300000,88435
301000,79891
302000,75669
303000,76066
304000,75680
305000,78813
306000,75978
307000,77421
308000,77856
309000,78515
310000,76006
311000,79049
312000,79136
313000,79691
314000,79400
315000,78828
316000,82337
317000,83016
318000,80224
319000,82843
320000,83355
321000,81487
322000,83161
323000,84368
324000,81543
325000,83626
326000,81080
327000,80572
328000,84539
329000,82944
330000,92455
331000,86335
332000,84532
333000,83437
334000,86285
335000,85821
336000,83450
337000,83680
338000,85649
339000,89510
340000,85818
341000,89555
342000,86723
343000,87283
344000,86748
345000,87252
346000,88450
347000,91124
348000,87299
349000,90262
350000,90957
351000,91764
352000,91127
353000,89436
354000,90274
355000,88806
356000,90001
357000,89977
358000,89859
