InputSize,Time(us)
0,0
1000,160
2000,361
3000,735
4000,895
5000,1001
6000,1639
7000,1521
8000,1922
9000,2545
10000,2888
11000,3809
12000,3115
13000,4544
14000,4357
15000,5097
16000,5907
17000,6798
18000,7640
19000,7032
20000,8139
21000,7637
22000,8251
23000,10036
24000,9293
25000,10167
26000,9889
27000,11362
28000,10948
29000,11205
30000,11272
31000,11785
32000,11598
33000,12364
34000,12868
35000,12734
36000,13113
37000,14535
38000,14207
39000,14299
40000,14050
41000,14376
42000,15015
43000,17690
44000,15945
45000,15829
46000,17005
47000,16648
48000,17142
49000,17015
50000,17344
51000,17278
52000,18055
53000,19108
54000,20141
55000,18907
56000,18941
57000,19092
58000,21118
59000,21814
60000,20062
61000,21101
62000,21026
63000,21699
64000,22308
65000,22632
66000,22795
67000,22734
68000,23661
69000,25493
70000,23267
71000,24779
72000,24163
73000,26304
74000,24640
75000,25421
76000,26082
77000,26415
78000,27029
79000,27337
80000,26871
81000,26814
82000,27441
83000,28033
84000,27518
85000,28928
86000,29217
87000,29233
88000,29388
89000,29025
90000,29854
91000,30200
92000,31106
93000,40057
94000,31995
95000,31797
96000,31870
97000,31543
98000,32714
99000,33535
100000,34293
101000,33559
102000,34115
103000,35921
104000,33901
105000,33731
106000,35591
107000,36370
108000,34967
109000,35453
110000,36668
111000,37690
112000,37336
113000,38121
114000,37894
115000,37766
116000,38935
117000,38164
118000,39042
119000,38991
120000,41023
121000,39474
122000,39879
123000,41231
124000,40024
125000,40699
126000,40900
127000,41972
128000,41731
129000,41757
130000,42694
131000,42127
132000,43793
133000,42307
134000,43217
135000,45448
136000,44589
137000,44731
138000,47318
139000,44817
140000,50324
141000,47175
142000,46834
143000,47238
144000,47090
145000,46713
146000,47660
147000,49802
148000,48706
149000,48317
150000,49338
151000,49018
152000,49627
153000,50785
154000,52091
155000,51127
156000,51500
157000,51824
158000,51917
159000,51434
160000,53197
161000,52104
162000,56331
163000,52457
164000,53286
165000,55137
166000,53597
167000,53795
168000,54711
169000,56426
170000,57555
171000,55815
172000,58844
173000,56557
174000,57460
175000,56442
176000,56247
177000,58830
178000,58771
179000,57887
