InputSize,Time(us)
0,0
1000,279
2000,707
3000,1076
4000,2036
5000,2397
6000,2774
7000,2825
8000,3010
9000,3433
10000,3943
11000,5133
12000,5645
13000,6207
14000,6965
15000,8294
16000,6428
17000,8472
18000,9425
19000,9958
20000,11436
21000,11681
22000,12676
23000,13315
24000,14713
25000,15142
26000,15801
27000,16370
28000,17055
29000,17484
30000,17765
31000,17983
32000,18441
33000,19210
34000,19956
35000,19594
36000,20390
37000,22978
38000,22522
39000,21708
40000,22003
41000,23629
42000,23771
43000,24459
44000,25500
45000,25673
46000,27515
47000,25788
48000,26688
49000,26989
50000,27932
51000,28392
52000,28653
53000,29518
54000,30071
55000,31509
56000,30960
57000,34189
58000,33336
59000,33074
60000,33371
61000,33405
62000,33322
63000,34107
64000,34657
65000,35074
66000,35666
67000,36816
68000,36521
69000,37493
70000,37933
71000,38383
72000,39485
73000,40136
74000,40225
75000,40612
76000,41637
77000,41325
78000,41542
79000,42213
80000,43129
81000,44687
82000,44219
83000,46565
84000,44783
85000,45740
86000,46202
87000,46493
88000,47604
89000,48870
90000,49238
91000,48792
92000,49080
93000,54756
94000,52141
95000,51956
96000,51856
97000,53573
98000,53126
99000,51651
100000,52124
101000,52803
102000,53572
103000,54927
104000,55228
105000,54827
106000,55499
107000,56379
108000,58217
109000,57738
110000,58220
111000,58786
112000,60155
113000,59584
114000,59890
115000,61439
116000,60338
117000,62989
118000,63379
119000,62590
120000,62491
121000,63762
122000,64799
123000,66899
124000,64393
125000,68735
126000,67545
127000,66698
128000,67044
129000,67967
130000,68038
131000,70879
132000,69759
133000,70138
134000,71660
135000,71806
136000,72160
137000,72916
138000,72219
139000,74316
140000,74069
141000,74702
142000,77166
143000,75995
144000,75464
145000,77174
146000,76698
147000,78422
148000,79045
149000,80428
150000,78642
151000,79095
152000,81034
153000,80152
154000,80643
155000,81137
156000,86964
157000,83689
158000,82598
159000,84432
160000,84809
161000,84608
162000,85456
163000,89180
164000,86239
165000,87524
166000,87400
167000,88452
168000,89215
169000,90657
170000,89688
171000,90961
172000,91536
173000,91506
174000,91323
175000,92922
176000,94001
177000,94343
178000,94114
179000,94637
180000,95769
181000,95754
182000,96984
183000,104471
184000,98022
185000,98377
186000,98465
187000,99862
188000,103351
189000,99914
190000,101263
191000,101920
192000,102187
193000,105028
194000,102535
195000,102812
196000,103207
197000,104465
198000,104478
199000,107051
200000,106917
201000,105783
202000,107302
203000,107983
204000,109975
205000,109600
206000,109265
207000,110304
208000,110056
209000,112984
210000,113124
211000,113292
212000,115597
213000,113562
214000,113086
215000,117777
216000,115446
217000,114854
218000,115208
219000,115763
220000,115731
221000,118080
222000,119117
223000,118969
224000,119266
225000,119700
226000,119960
227000,120640
228000,122111
229000,123694
230000,122672
231000,122571
232000,123158
233000,123414
234000,124591
235000,124931
236000,127500
237000,125011
238000,124894
239000,125277
240000,131442
241000,141741
242000,130372
243000,129947
244000,129103
245000,130642
246000,130780
247000,132183
248000,130839
249000,132169
250000,131358
251000,133604
252000,133866
253000,133974
254000,133051
255000,134839
256000,138046
257000,136666
258000,135380
259000,138090
260000,139908
261000,137771
262000,139073
263000,140410
264000,139203
265000,141806
266000,141240
267000,143128
268000,142904
269000,146123
270000,146185
271000,145184
272000,144770
273000,146740
274000,146224
275000,146919
276000,146237
277000,148788
278000,148410
279000,149884
280000,149526
281000,154047
282000,150632
283000,150726
284000,152005
285000,153824
286000,152713
287000,153326
288000,156081
289000,156134
290000,154224
291000,157362
292000,157768
293000,156371
294000,156957
295000,158086
296000,158153
297000,160194
298000,159569
299000,164805
300000,161646
301000,160400
302000,162973
303000,163133
304000,164796
305000,163543
306000,163902
307000,165303
308000,164956
309000,169848
310000,168216
311000,166935
312000,167046
313000,167540
314000,170218
315000,169125
316000,170189
317000,172415
318000,170437
319000,171472
320000,170760
321000,175026
322000,172449
323000,174435
324000,174561
325000,176376
326000,174863
327000,179644
328000,180980
329000,177967
330000,178487
331000,179622
332000,178460
333000,181202
334000,179541
335000,180910
336000,180926
337000,184667
338000,182065
339000,185448
340000,185566
341000,184580
342000,184894
343000,185183
344000,188007
345000,186066
346000,186977
347000,188097
348000,187952
349000,188285
350000,188698
351000,190906
352000,189568
353000,191188
354000,192888
355000,191522
356000,198366
357000,199368
358000,194213
359000,196142
360000,202611
361000,200598
362000,201052
363000,197670
364000,198716
365000,198514
366000,200141
367000,200284
368000,199963
369000,201857
370000,204386
371000,202982
372000,202009
373000,202623
374000,203474
375000,202411
376000,204452
377000,206196
378000,205324
379000,212035
380000,205724
381000,207641
382000,210247
383000,211740
384000,210222
385000,210740
386000,211708
387000,210781
388000,211952
389000,213611
390000,214842
391000,217931
392000,212022
393000,213305
394000,214488
395000,216054
396000,220935
397000,218698
398000,217055
399000,218174
400000,217916
401000,219300
402000,221379
403000,219530
404000,227585
405000,219345
406000,221817
407000,222742
408000,228102
409000,222404
410000,225243
411000,224201
412000,227981
413000,225815
414000,225968
415000,227648
416000,225964
417000,227821
418000,228674
419000,228596
420000,231722
421000,231244
422000,231584
423000,231684
424000,235921
425000,234554
426000,232854
427000,232930
428000,234690
429000,234557
430000,236516
431000,235666
432000,239233
433000,237358
434000,238286
435000,239082
436000,238192
437000,239099
438000,241017
439000,241581
440000,242259
441000,241388
442000,242477
443000,243610
444000,242774
445000,245408
446000,250897
447000,246415
448000,245565
449000,246284
450000,246920
451000,246423
452000,253404
453000,253442
454000,248888
455000,250293
456000,250657
457000,253362
458000,251692
459000,251705
460000,257740
461000,253175
462000,254304
463000,256073
464000,257819
465000,254627
466000,257355
467000,255321
468000,255731
469000,258477
470000,256415
471000,263404
472000,254892
473000,261423
474000,260341
475000,260404
476000,261120
477000,258909
478000,260761
479000,261472
480000,263855
481000,273124
482000,264692
483000,265614
484000,263797
485000,265413
486000,270102
487000,268012
488000,269614
489000,270941
490000,266394
491000,272267
492000,266593
493000,269359
494000,268549
495000,269709
496000,270163
497000,269949
498000,272409
499000,272068
500000,273342
501000,274500
502000,278712
503000,273415
504000,275599
505000,275400
506000,277645
507000,305825
508000,275520
509000,277674
510000,277513
511000,279115
512000,279752
513000,279881
514000,280006
515000,282988
516000,281965
517000,284932
518000,280769
519000,286569
520000,288939
521000,286322
522000,283298
523000,286227
524000,284996
525000,288606
526000,289726
527000,289592
528000,294884
529000,289099
530000,289899
531000,291997
532000,340979
533000,293518
534000,294716
535000,294896
536000,295457
537000,295985
538000,297669
539000,295883
540000,300776
541000,299945
542000,303275
543000,297742
544000,299873
545000,298297
546000,301594
547000,299944
548000,302443
549000,302231
550000,304373
551000,303883
552000,304773
553000,305643
554000,307067
555000,307351
556000,306631
557000,309251
558000,308140
559000,310739
560000,308041
561000,315137
562000,309953
563000,314135
564000,314541
565000,315404
566000,314773
567000,315497
568000,315517
569000,317662
570000,316620
571000,316935
572000,315913
573000,318030
574000,316325
575000,319173
576000,323614
577000,320011
578000,323329
579000,322156
580000,323129
581000,320586
582000,324633
583000,321583
584000,322475
585000,324847
586000,324956
587000,332475
588000,325163
589000,328834
590000,326687
591000,335961
592000,328701
593000,330609
594000,332801
595000,335589
596000,331944
597000,329628
598000,336174
599000,331089
600000,333693
601000,338244
602000,338708
603000,335512
604000,336270
605000,335928
606000,338373
607000,340142
608000,340974
609000,349266
610000,341015
611000,342412
612000,339159
613000,340805
614000,343660
615000,339531
616000,344491
617000,341999
618000,344193
619000,344171
620000,346578
621000,349921
622000,347606
623000,349390
624000,345397
625000,348942
626000,346785
627000,347605
628000,351831
629000,348932
630000,352274
631000,351751
632000,352415
633000,355158
634000,351582
635000,355334
636000,353017
637000,361546
638000,355419
639000,355053
640000,358656
641000,358704
642000,365415
643000,356947
644000,356363
645000,360687
646000,358873
647000,367641
648000,363013
649000,364432
650000,364305
651000,366253
652000,364982
653000,366063
654000,365978
655000,369289
656000,367462
657000,372096
658000,369200
659000,368858
660000,369958
661000,371247
662000,377062
663000,374021
664000,370853
665000,371846
666000,373887
667000,373350
668000,377343
669000,373019
670000,382531
671000,378608
672000,375432
673000,375732
674000,376904
675000,375383
676000,379845
677000,378489
678000,380458
679000,383205
680000,380197
681000,383626
682000,382673
683000,383270
684000,386425
685000,382260
686000,384414
687000,387673
688000,386825
689000,388088
690000,391421
691000,387229
692000,387970
693000,390254
694000,390531
695000,391354
696000,390406
697000,391210
698000,394764
699000,391343
700000,394885
701000,395574
702000,395425
703000,401332
704000,395477
705000,395700
706000,395468
707000,397424
708000,397386
709000,396531
710000,401827
711000,398636
712000,398511
713000,404921
714000,400745
715000,402186
716000,402850
717000,400834
718000,409604
719000,405949
720000,404739
721000,405711
722000,411203
723000,405866
724000,406826
725000,410174
726000,415428
727000,413699
728000,412402
729000,410379
730000,409633
731000,414302
732000,411689
733000,411637
734000,414990
735000,412517
736000,412775
737000,419016
738000,417228
739000,417398
740000,419067
741000,421282
742000,416683
743000,419706
744000,420889
745000,418974
746000,421656
747000,423846
748000,421493
749000,421896
750000,426119
751000,425301
752000,423599
753000,425345
754000,426923
755000,424800
756000,425396
757000,430088
758000,426904
759000,426843
760000,430078
761000,430415
762000,433569
763000,429731
764000,433399
765000,431522
766000,434921
767000,434659
768000,437737
769000,432965
770000,441058
771000,440611
772000,436761
773000,437263
774000,437965
775000,443519
776000,450748
777000,440543
778000,452069
779000,442862
780000,440876
781000,441000
782000,446133
783000,442322
784000,442500
785000,446074
786000,447428
787000,445360
788000,447009
789000,449890
790000,449183
791000,450627
792000,448970
793000,452046
794000,453258
795000,451506
796000,452803
797000,459048
798000,451972
799000,452166
800000,454797
801000,457925
802000,458300
803000,454480
804000,456070
805000,461516
806000,460011
807000,457163
808000,466972
809000,467133
810000,461066
811000,457374
812000,468659
813000,466946
814000,463862
815000,461422
816000,462495
817000,464463
818000,465786
819000,471907
820000,463041
821000,466503
822000,467594
823000,467758
824000,467203
825000,466195
826000,479045
827000,470317
828000,468480
829000,469226
830000,470098
831000,474846
832000,470499
833000,470755
834000,472101
835000,477050
836000,478372
837000,477250
838000,476073
839000,478203
840000,482956
841000,479238
842000,478648
843000,476888
844000,478180
845000,481920
846000,479330
847000,480365
848000,485097
849000,484194
850000,485036
851000,483911
852000,489272
853000,491960
854000,486314
855000,487244
856000,487706
857000,517945
858000,487996
859000,490921
860000,492162
861000,488718
862000,489919
863000,491530
864000,498285
865000,493800
866000,491627
867000,492025
868000,493447
869000,494417
870000,497818
871000,498492
872000,502604
873000,498840
874000,500024
875000,500219
876000,504926
877000,498844
878000,499091
879000,507426
880000,501890
881000,508797
882000,506503
883000,502419
884000,503294
885000,503963
886000,508959
887000,512627
888000,511844
889000,508403
890000,511564
891000,510059
892000,509051
893000,512759
894000,513388
895000,509487
896000,508575
897000,510640
898000,512635
899000,515495
900000,516873
901000,511836
902000,513286
903000,516578
904000,517002
905000,520161
906000,520016
907000,522224
908000,519604
909000,519209
910000,520362
911000,522903
912000,524040
913000,524139
914000,524534
915000,530364
916000,520715
917000,521554
918000,525727
919000,524682
920000,528273
921000,528139
922000,526906
923000,526457
924000,529083
925000,529012
926000,528496
927000,535279
928000,534679
929000,532124
930000,531457
931000,531383
932000,535482
933000,531359
934000,537270
935000,542892
936000,538700
937000,539579
938000,536023
939000,537138
940000,542917
941000,542100
942000,539986
943000,541221
944000,545244
945000,542314
946000,543259
947000,543353
948000,539985
949000,546273
950000,553785
951000,543573
952000,544063
953000,548648
954000,546684
955000,558896
956000,557522
957000,548343
958000,547241
959000,549265
960000,547904
961000,552185
962000,549004
963000,552957
964000,553465
965000,553990
966000,551562
967000,552837
968000,551933
969000,555634
970000,552796
971000,554984
972000,559994
973000,559456
974000,560192
975000,562934
976000,561523
977000,561427
978000,566775
979000,562195
980000,562061
981000,575260
982000,562908
983000,569379
984000,565319
985000,566100
986000,578667
987000,577926
988000,569229
989000,568165
990000,569505
991000,567616
992000,567450
993000,569241
994000,566746
995000,571795
996000,571393
997000,570177
998000,570263
999000,573460
1000000,575546
