InputSize,Time(us)
0,0
1000,366
2000,1056
3000,1387
4000,1836
5000,2725
6000,3348
7000,4078
8000,4503
9000,5172
10000,5866
11000,6392
12000,7405
13000,8185
14000,8645
15000,10402
16000,11646
17000,11831
18000,13019
19000,13301
20000,14504
21000,15132
22000,15327
23000,16871
24000,22136
25000,18311
26000,18532
27000,19146
28000,19177
29000,21321
30000,21038
31000,20847
32000,21353
33000,21913
34000,22166
35000,22977
36000,23535
37000,23685
38000,24756
39000,25126
40000,25297
41000,25221
42000,26715
43000,27320
44000,27102
45000,28239
46000,27339
47000,28220
48000,28516
49000,29315
50000,30073
51000,30495
52000,31100
53000,31582
54000,32176
55000,32416
56000,32604
57000,33111
58000,33868
59000,34404
60000,34531
61000,35035
62000,37276
63000,38233
64000,49853
65000,42222
66000,41560
67000,41335
68000,42113
69000,42316
70000,42243
71000,43624
72000,43976
73000,44501
74000,44863
75000,44790
76000,46109
77000,46194
78000,46083
79000,47040
80000,47120
81000,48739
82000,48482
83000,48445
84000,50052
85000,50138
86000,49142
87000,50405
88000,50954
89000,51669
90000,51250
91000,52687
92000,65506
93000,56718
94000,51927
95000,54119
96000,53525
97000,54330
98000,55267
99000,55349
100000,56317
101000,57779
102000,57890
103000,58443
104000,57085
105000,59388
106000,59336
107000,59344
108000,61549
109000,61508
110000,61136
111000,62516
112000,62461
113000,60871
114000,64454
115000,63889
116000,64421
117000,64952
118000,65308
119000,66013
120000,66019
121000,66356
122000,71699
123000,69642
124000,68468
125000,68638
126000,68452
127000,69405
128000,70107
129000,68946
130000,70677
131000,71744
132000,71098
133000,71840
134000,74007
135000,73156
136000,73468
137000,74077
138000,74432
139000,74864
140000,75929
141000,76573
142000,75775
143000,77365
144000,78245
145000,78582
146000,79855
147000,80337
148000,79907
149000,80147
150000,85496
151000,81349
152000,82315
153000,81652
154000,82111
155000,84027
156000,84838
157000,84513
158000,84426
159000,84811
160000,85582
161000,86736
162000,86227
163000,86977
164000,86339
165000,87694
166000,87676
167000,89017
168000,89356
169000,89671
170000,90775
171000,90288
172000,90474
173000,91275
174000,91585
175000,92917
176000,92501
177000,93307
178000,101824
179000,94613
180000,95606
181000,95333
182000,96566
183000,95394
184000,95806
185000,96455
186000,97031
187000,98719
188000,98513
189000,98393
190000,98887
191000,99011
192000,99942
193000,101152
194000,100590
195000,100965
196000,101771
197000,102851
198000,103493
199000,104189
200000,104612
201000,105246
202000,107871
203000,106982
204000,107541
205000,107829
206000,106932
207000,112398
208000,109029
209000,109520
210000,110822
211000,112059
212000,111840
213000,111443
214000,112695
215000,112431
216000,113849
217000,113485
218000,112985
219000,114021
220000,115663
221000,115704
222000,133210
223000,119875
224000,116486
225000,116868
226000,117664
227000,117522
228000,118024
229000,118813
230000,125388
231000,122577
232000,122100
233000,121970
234000,123092
235000,122349
236000,122603
237000,124952
238000,123225
239000,124526
240000,124427
241000,125843
242000,125126
243000,125153
244000,129440
245000,128458
246000,126835
247000,128463
248000,126968
249000,129332
250000,130204
251000,131177
252000,130393
253000,139757
254000,131923
255000,131066
256000,130623
257000,130806
258000,133887
259000,132510
260000,133013
261000,133372
262000,135137
263000,134836
264000,136134
265000,135587
266000,137036
267000,137108
268000,137028
269000,137766
270000,139123
271000,138940
272000,139095
273000,141120
274000,140485
275000,141076
276000,143236
277000,142545
278000,142128
279000,143721
280000,162145
281000,145242
282000,162839
283000,146689
284000,145572
285000,145220
286000,147097
287000,148170
288000,147947
289000,147924
290000,148294
291000,151110
292000,151300
293000,150046
294000,151717
295000,153426
296000,152280
297000,152799
298000,154852
299000,154405
300000,154486
301000,156407
302000,156750
303000,155861
304000,157323
305000,155740
306000,158459
307000,158556
308000,158397
309000,159262
310000,160209
311000,165257
312000,160257
313000,163240
314000,160314
315000,160318
316000,162417
317000,162212
318000,162179
319000,164183
320000,163240
321000,164505
322000,164211
323000,165632
324000,165742
325000,164584
326000,164974
327000,167714
328000,167984
329000,166338
330000,169724
331000,169252
332000,168570
333000,170626
334000,172963
335000,170013
336000,171059
337000,170900
338000,173070
339000,189876
340000,173532
341000,175303
342000,175102
343000,172901
344000,175853
345000,176607
346000,176850
347000,175989
348000,178677
349000,177322
350000,177643
351000,179908
352000,177837
353000,177702
354000,181998
355000,180512
356000,179831
357000,181797
358000,181155
359000,181899
360000,181498
361000,184149
362000,182557
363000,184276
364000,184343
365000,184499
366000,185708
367000,198383
368000,187522
369000,187570
370000,187573
371000,189738
372000,189351
373000,190394
374000,192295
375000,191338
376000,192533
377000,190072
378000,191131
379000,195096
380000,198284
381000,198458
382000,194937
383000,193766
384000,194905
385000,196407
386000,195161
387000,195782
388000,196230
389000,195974
390000,197085
391000,205554
392000,197822
393000,197643
394000,200102
395000,200300
396000,200192
397000,201137
398000,203194
399000,201607
400000,203108
401000,203123
402000,205272
403000,204446
404000,205357
405000,208541
406000,206383
407000,206155
408000,229023
409000,207863
410000,207669
411000,210244
412000,208669
413000,208559
414000,210420
415000,213361
416000,214036
417000,213248
418000,212576
419000,214444
420000,214319
421000,214653
422000,217822
423000,214803
424000,216990
425000,218174
426000,216346
427000,219468
428000,217869
429000,219565
430000,220973
431000,220778
432000,222502
433000,220250
434000,221238
435000,222460
436000,236723
437000,223443
438000,224696
439000,225320
440000,226897
441000,225266
442000,225253
443000,227929
444000,227134
445000,228073
446000,228451
447000,229381
448000,228497
449000,228503
450000,229473
451000,229626
452000,230230
453000,233346
454000,230735
455000,232203
456000,232406
457000,233184
458000,233460
459000,235066
460000,234434
461000,235374
462000,237008
463000,235429
464000,236350
465000,262538
466000,239118
467000,238923
468000,240656
469000,239136
470000,241447
471000,239810
472000,239955
473000,240301
474000,240606
475000,242725
476000,247119
477000,252771
478000,243097
479000,243490
480000,245085
481000,244786
482000,245526
483000,244648
484000,244842
485000,246408
486000,249340
487000,248686
488000,248734
489000,253627
490000,247444
491000,248106
492000,249500
493000,249351
494000,252334
495000,249907
496000,250319
497000,250372
498000,253530
499000,252031
500000,253082
501000,252740
502000,251768
503000,254414
504000,253796
505000,256747
506000,257844
507000,256234
508000,256712
509000,256176
510000,257483
511000,256155
512000,257996
513000,258462
514000,259143
515000,259090
516000,259710
517000,263976
518000,261232
519000,276676
520000,264781
521000,260688
522000,264204
523000,262474
524000,261542
525000,265662
526000,264169
527000,268752
528000,265783
529000,268764
530000,266171
531000,269962
532000,268346
533000,268977
534000,268926
535000,269216
536000,271120
537000,269683
538000,273266
539000,272541
540000,273712
541000,273667
542000,274092
543000,273108
544000,281575
545000,274692
546000,330639
547000,277277
548000,278910
549000,283383
550000,285403
551000,288177
552000,280243
553000,277872
554000,282035
555000,278829
556000,286860
557000,282283
558000,285443
559000,282400
560000,286945
561000,283288
562000,287207
563000,284757
564000,286178
565000,285647
566000,294570
567000,285842
568000,289017
569000,288223
570000,291991
571000,289614
572000,291848
573000,289782
574000,293905
575000,290501
576000,293762
577000,291739
578000,294107
579000,292504
580000,294382
581000,343877
582000,295881
583000,295677
584000,299155
585000,296861
586000,299193
587000,298078
588000,297256
589000,298503
590000,300132
591000,300897
592000,303894
593000,300323
594000,301275
595000,302020
596000,299687
597000,303735
598000,301941
599000,305491
600000,302259
601000,303484
602000,303614
603000,305151
604000,305495
605000,306349
606000,308460
607000,308236
608000,306542
609000,307909
610000,355983
611000,308071
612000,310734
613000,308618
614000,313356
615000,309260
616000,315913
617000,314436
618000,312705
619000,312612
620000,313596
621000,315323
622000,313909
623000,317334
624000,315718
625000,324126
626000,314982
627000,317597
628000,318163
629000,318315
630000,319223
631000,317555
632000,319296
633000,350198
634000,320173
635000,318276
636000,319555
637000,318826
638000,319866
639000,323650
640000,339894
641000,325961
642000,324168
643000,323570
644000,324186
645000,324003
646000,328322
647000,326268
648000,326026
649000,324959
650000,328698
651000,325869
652000,328279
653000,330788
654000,328773
655000,328050
656000,325893
657000,330446
658000,330273
659000,328862
660000,332471
661000,330200
662000,334317
663000,333750
664000,334238
665000,362658
666000,334372
667000,336468
668000,336125
669000,336454
670000,336506
671000,339042
672000,342857
673000,337158
674000,340979
675000,337773
676000,341223
677000,350927
678000,342045
679000,350206
680000,343403
681000,341531
682000,345076
683000,343028
684000,346555
685000,346881
686000,344457
687000,353897
688000,352031
689000,348990
690000,348899
691000,347813
692000,350018
693000,348796
694000,347326
695000,350840
696000,350234
697000,352382
698000,350599
699000,350028
700000,353225
701000,354021
702000,352108
703000,354564
704000,354100
705000,353721
706000,356215
707000,355285
708000,356928
709000,354865
710000,358432
711000,358965
712000,357102
713000,359826
714000,363552
715000,359561
716000,364494
717000,360020
718000,362062
719000,362155
720000,361231
721000,361600
722000,361710
723000,364100
724000,365919
725000,364963
726000,364281
727000,367799
728000,365904
729000,366751
730000,369518
731000,367410
732000,369687
733000,369341
734000,367794
735000,371172
736000,370651
737000,373228
738000,373237
739000,369753
740000,374353
741000,376624
742000,373397
743000,374334
744000,375428
745000,380044
746000,375334
747000,379716
748000,375212
749000,375688
750000,378496
751000,376967
752000,377947
753000,382313
754000,378446
755000,378604
756000,383826
757000,415760
758000,396029
759000,436429
760000,385426
761000,379367
762000,380118
763000,386356
764000,382046
765000,383282
766000,386203
767000,382599
768000,383763
769000,385031
770000,383236
771000,382502
772000,385355
773000,385132
774000,387205
775000,386420
776000,387021
777000,387554
778000,387852
779000,391912
780000,388381
781000,389668
782000,391421
783000,390899
784000,390214
785000,393384
786000,391173
787000,447890
788000,395012
789000,392833
790000,394326
791000,395573
792000,396225
793000,396615
794000,396210
795000,399315
796000,397332
797000,402416
798000,402306
799000,398731
800000,401271
801000,401885
802000,405079
803000,404155
804000,401566
805000,404791
806000,401511
807000,404230
808000,430927
809000,404148
810000,404355
811000,405383
812000,408104
813000,407962
814000,406978
815000,408461
816000,408568
817000,408242
818000,409250
819000,410725
820000,409575
821000,411348
822000,413127
823000,415651
824000,413570
825000,414797
826000,416035
827000,415132
828000,416717
829000,415622
830000,417570
831000,415847
832000,417407
833000,417319
834000,439627
835000,418007
836000,421939
837000,420152
838000,423981
839000,420740
840000,422834
841000,423235
842000,427534
843000,425179
844000,427842
845000,427213
846000,427134
847000,433048
848000,426241
849000,429151
850000,430572
851000,429044
852000,426859
853000,432020
854000,432719
855000,428503
856000,429746
857000,432416
858000,459375
859000,488876
860000,437139
861000,460921
862000,444356
863000,481244
864000,437145
865000,436241
866000,436075
867000,438975
868000,439569
869000,438658
870000,439033
871000,439546
872000,443264
873000,441800
874000,442120
875000,441759
876000,442793
877000,446825
878000,444152
879000,443320
880000,445279
881000,445298
882000,447524
883000,445732
884000,445885
885000,447331
886000,458180
887000,447906
888000,449100
889000,449844
890000,452613
891000,453249
892000,451013
893000,453117
894000,458410
895000,453491
896000,456938
897000,454908
898000,480205
899000,514603
900000,454947
901000,458349
902000,458428
903000,455627
904000,458989
905000,458599
906000,460523
907000,458585
908000,458323
909000,459332
910000,460713
911000,462666
912000,460332
913000,465904
914000,461779
915000,507831
916000,463369
917000,464161
918000,462196
919000,464810
920000,466235
921000,466565
922000,469196
923000,466899
924000,468923
925000,468186
926000,468935
927000,468965
928000,472649
929000,468180
930000,471411
931000,472215
932000,472561
933000,471618
934000,473703
935000,473839
936000,475462
937000,473653
938000,482571
939000,476696
940000,477658
941000,475396
942000,475105
943000,476072
944000,478425
945000,478265
946000,479653
947000,478274
948000,475968
949000,478241
950000,478979
951000,479538
952000,484541
953000,483514
954000,480327
955000,480050
956000,480950
957000,483179
958000,484444
959000,486249
960000,484255
961000,485140
962000,483566
963000,482901
964000,484471
965000,484892
966000,487803
967000,486461
968000,484796
969000,487408
970000,487186
971000,487811
972000,492285
973000,497366
974000,491575
975000,488225
976000,488744
977000,488634
978000,491950
979000,492856
980000,494071
981000,496519
982000,494339
983000,492701
984000,494494
985000,492722
986000,492459
987000,496560
988000,498168
989000,498606
990000,496414
991000,497046
992000,497899
993000,497270
994000,498710
995000,500423
996000,499714
997000,503082
998000,500633
999000,500809
1000000,499358
